"Unnamed 42",rád(a),"chcem priorita 1",neviem,neviem,rád(a),"chcem priorita 2",neviem,neviem,neviem,neviem,neviem,neviem,1,0.9
"Unnamed 43",rád(a),"chcem priorita 1",neviem,neviem,rád(a),"chcem priorita 2",neviem,neviem,neviem,neviem,neviem,neviem,1,0.9
"Unnamed 44",rád(a),"chcem priorita 2",neviem,neviem,rád(a),"chcem priorita 1",neviem,neviem,neviem,neviem,neviem,neviem,1,0.4
"Unnamed 45",rád(a),"chcem priorita 1",neviem,neviem,rád(a),"chcem priorita 2",neviem,neviem,neviem,neviem,neviem,neviem,1,0.8
"Unnamed 46",rád(a),"chcem priorita 1",neviem,neviem,rád(a),rád(a),neviem,neviem,neviem,neviem,neviem,neviem,1,1
"Unnamed 47",rád(a),"chcem priorita 1",neviem,neviem,rád(a),"chcem priorita 2",neviem,neviem,neviem,neviem,neviem,neviem,1,1
"Unnamed 48",rád(a),"chcem priorita 2",neviem,neviem,rád(a),"chcem priorita 1",neviem,neviem,neviem,neviem,neviem,neviem,1,1
"Unnamed 49",rád(a),"chcem priorita 3",neviem,neviem,rád(a),"chcem priorita 1",neviem,neviem,neviem,neviem,neviem,neviem,1,0.7
"Unnamed 50",rád(a),"chcem priorita 1",neviem,neviem,rád(a),"chcem priorita 2",neviem,neviem,neviem,neviem,neviem,neviem,1,0.7
"Unnamed 51",rád(a),"chcem priorita 1","chcem priorita 2",neviem,rád(a),"chcem priorita 4",neviem,neviem,neviem,neviem,neviem,neviem,1,0.5
"Unnamed 52",rád(a),"chcem priorita 2",neviem,neviem,rád(a),"chcem priorita 1","chcem priorita 3",neviem,neviem,neviem,neviem,neviem,1,0.7
"Unnamed 53",rád(a),"chcem priorita 2",neviem,neviem,rád(a),"chcem priorita 1","chcem priorita 3",neviem,neviem,neviem,neviem,neviem,1,0.7
"Unnamed 54",rád(a),"chcem priorita 2",neviem,neviem,rád(a),"chcem priorita 1",neviem,neviem,neviem,neviem,neviem,neviem,1,0.4
"Unnamed 55","chcem priorita 1",neviem,neviem,neviem,"chcem priorita 2",neviem,neviem,neviem,neviem,neviem,neviem,neviem,1,1
"Unnamed 56","chcem priorita 1",neviem,neviem,neviem,"chcem priorita 2",neviem,neviem,neviem,neviem,neviem,neviem,neviem,1,1
"Unnamed 57","chcem priorita 1",neviem,neviem,neviem,"chcem priorita 2",neviem,neviem,neviem,neviem,neviem,neviem,neviem,1,1
"Unnamed 58","chcem priorita 1",neviem,neviem,neviem,"chcem priorita 2",neviem,neviem,neviem,neviem,neviem,neviem,neviem,1,1
"Unnamed 59","chcem priorita 1",neviem,neviem,neviem,"chcem priorita 2",neviem,neviem,neviem,neviem,neviem,neviem,neviem,1,0.1
"Unnamed 60","chcem priorita 1",neviem,neviem,neviem,"chcem priorita 2",neviem,neviem,neviem,neviem,neviem,neviem,neviem,1,0.1
"Unnamed 61","chcem priorita 2",neviem,neviem,neviem,"chcem priorita 1",neviem,neviem,neviem,neviem,neviem,neviem,neviem,1,1
"Unnamed 62","chcem priorita 2",neviem,neviem,neviem,"chcem priorita 1",neviem,neviem,neviem,neviem,neviem,neviem,neviem,1,1
"Unnamed 63","chcem priorita 2",neviem,neviem,neviem,"chcem priorita 1",neviem,neviem,neviem,neviem,neviem,neviem,neviem,1,1
"Unnamed 64","chcem priorita 2",neviem,neviem,neviem,"chcem priorita 1",neviem,neviem,neviem,neviem,neviem,neviem,neviem,1,1
"Unnamed 65","chcem priorita 2",neviem,neviem,neviem,"chcem priorita 1",neviem,neviem,neviem,neviem,neviem,neviem,neviem,1,0.1
"Unnamed 66","chcem priorita 2",neviem,neviem,neviem,"chcem priorita 1",neviem,neviem,neviem,neviem,neviem,neviem,neviem,1,0.1
